Country,REGION,Code,potential,SQRT(potential/PI),voiceAcc,politicalSta,govEff,regQua,ruleLaw,controlCor,Capacity,SqRt(Capacity/Pi),Hydropower,Wind,Solar,Bioenergy,1000ha,,CapacityArea
Country,X,ZZZ,18000,75.69,-0.35,0.35,-0.65,-0.50,-0.25,-0.54,2500,28.21,2388,,4,43,"74,339",0.03362972329,3.362972329
Sudan,N,SDN,87817,167.19,-1.83,-2.01,-1.41,-1.56,-1.11,-1.54,2131,26.04,1928,,13,190,"188,602",0.01129892578,1.129892578
South Africa,S,ZAF,42243,115.96,0.64,-0.27,0.28,0.23,-0.01,-0.01,4959,39.73,3434,2094,2014,148,"121,309",0.0408790774,4.08790774
Tanzania,E,TZA,38804,111.14,-0.29,-0.58,-0.63,-0.58,-0.45,-0.48,659,14.48,577,,11,70,"88,580",0.007439602619,0.7439602619
Nigeria,W,NGA,32456,101.64,-0.34,-1.94,-0.96,-0.89,-0.87,-1.07,2064,25.63,2042,3,19,,"91,077",0.02266214302,2.266214302
Ethiopia,E,ETH,27154,92.97,-1.44,-1.69,-0.70,-1.01,-0.45,-0.56,4301,37.00,3814,324,14,142,"100,000",0.04301,4.301
Somalia,E,SOM,25687,90.42,-1.78,-2.33,-2.21,-2.29,-2.31,-1.72,6,1.38,,4,2,,"62,734",0.00009564191666,0.009564191666
Kenya,E,KEN,23046,85.65,-0.20,-1.08,-0.31,-0.23,-0.41,-0.96,1642,22.86,828,26,28,88,"56,914",0.02885054644,2.885054644
Democratic Republic of Congo,C,ZAR,22862,85.31,-1.44,-2.30,-1.63,-1.47,-1.69,-1.42,2687,29.25,2687,,,,"226,705",0.01185240731,1.185240731
Namibia,S,NAM,22024,83.73,0.55,0.65,0.20,-0.19,0.24,0.32,391,11.16,347,6,37,0,"82,329",0.004749237814,0.4749237814
Zambia,E,ZMB,17894,75.47,-0.34,0.11,-0.62,-0.47,-0.33,-0.54,2435,27.84,2388,,4,43,"74,339",0.03275535049,3.275535049
Zimbabwe,E,ZWE,15684,70.66,-1.20,-0.77,-1.19,-1.56,-1.38,-1.27,888,16.81,781,,7,100,"38,685",0.02295463358,2.295463358
Niger,W,NER,15669,70.62,-0.41,-1.30,-0.67,-0.68,-0.68,-0.65,9,1.69,,,9,,"126,670",0.00007105076182,0.007105076182
Botswana,S,BWA,13764,66.19,0.38,1.03,0.43,0.46,0.51,0.80,3,0.98,,,3,,"56,673",0.00005293526018,0.005293526018
Angola,C,AGO,13319,65.11,-1.10,-0.29,-1.03,-1.04,-1.10,-1.41,2800,29.85,2736,,13,51,"124,670",0.02245929253,2.245929253
Chad,C,TCD,10506,57.83,-1.37,-1.34,-1.46,-1.21,-1.30,-1.43,1,0.56,,1,,,"125,920",0.000007941550191,0.0007941550191
Côte d'Ivoire,W,CIV,10325,57.33,-0.27,-1.09,-0.74,-0.36,-0.63,-0.52,879,16.73,879,,,,"31,800",0.02764150943,2.764150943
Cameroon,C,CMR,10105,56.71,-1.05,-1.08,-0.82,-0.82,-1.02,-1.18,741,15.36,732,,9,,"47,271",0.01567557276,1.567557276
Uganda,E,UGA,9470,54.90,-0.59,-0.56,-0.58,-0.22,-0.30,-1.04,841,16.36,714,,46,81,"20,052",0.04194095352,4.194095352
Mauritania,W,MRT,7990,50.43,-0.80,-0.62,-0.72,-0.78,-0.60,-0.75,167,7.29,48,34,85,,"103,070",0.001620258077,0.1620258077
Mali,W,MLI,7906,50.17,-0.26,-1.91,-0.94,-0.57,-0.78,-0.63,190,7.78,184,,6,,"122,019",0.001557134545,0.1557134545
Burkina Faso,W,BFA,7742,49.64,0.06,-0.92,-0.59,-0.44,-0.40,-0.11,76,4.92,32,,44,0,"27,360",0.002777777778,0.2777777778
Ghana,W,GHA,7644,49.33,0.59,0.09,-0.11,-0.14,0.13,-0.23,1611,22.65,1580,,28,3,"22,754",0.07080073833,7.080073833
Senegal,W,SEN,7519,48.92,0.32,-0.04,-0.32,-0.15,-0.15,-0.09,185,7.67,75,,85,25,"19,253",0.009608892121,0.9608892121
Congo,C,COG,6778,46.45,-1.12,-0.53,-1.19,-1.33,-1.10,-1.33,214,8.25,214,,0,,"34,150",0.006266471449,0.6266471449
Gabon,C,GAB,5402,41.47,-1.05,-0.09,-0.94,-0.79,-0.68,-0.81,330,10.25,330,,,,"25,767",0.01280707882,1.280707882
Central African Republic,C,CAF,5284,41.01,-1.11,-1.94,-1.77,-1.48,-1.73,-1.17,19,2.46,,,0,,"62,298",0.0003049857138,0.03049857138
Malawi,E,MWI,5210,40.72,-0.03,-0.27,-0.67,-0.75,-0.37,-0.65,374,10.91,351,,11,12,"9,428",0.03966907085,3.966907085
Guinea,W,GIN,5204,40.70,-0.74,-0.61,-1.04,-0.84,-1.23,-1.01,370,10.85,368,,2,,"24,572",0.01505778935,1.505778935
Madagascar,E,MDG,4987,39.84,-0.34,-0.33,-1.14,-0.69,-0.86,-1.05,177,7.51,164,0,13,0,"58,180",0.003042282571,0.3042282571
Eritrea,E,ERI,4775,38.99,-2.17,-0.66,-1.73,-2.20,-1.56,-1.20,1,0.56,,1,,,"10,100",0.00009900990099,0.009900990099
Benin,W,BEN,3898,35.22,0.38,0.05,-0.64,-0.47,-0.62,-0.55,6,1.38,1,,5,,"11,276",0.0005321035828,0.05321035828
Sierra Leone,W,SLE,1499,21.84,-0.21,0.03,-1.21,-0.92,-0.79,-0.59,92,5.41,60,,0,32,"7,218",0.012745913,1.2745913
Guinea-Bissau,W,GNB,1493,21.80,-0.80,-0.60,-1.77,-1.18,-1.44,-1.56,0,0.00,,,0,,"2,812",0,0
Togo,W,TGO,1257,20.00,-0.62,-0.74,-1.13,-0.79,-0.71,-0.71,70,4.72,67,,2,,"5,439",0.01287001287,1.287001287
Djibouti,E,DJI,947,17.36,-1.41,-0.71,-1.03,-0.64,-0.91,-0.64,0,0.00,,,0,,"2,318",0,0
Lesotho,S,LSO,938,17.28,0.04,-0.25,-0.85,-0.32,-0.27,-0.03,75,4.89,75,,0,,"3,036",0.02470355731,2.470355731
Rwanda,E,RWA,892,16.85,-1.12,0.04,0.26,0.15,0.13,0.63,112,5.97,99,,13,1,"2,467",0.04539927037,4.539927037
Burundi,E,BDI,888,16.81,-1.57,-1.97,-1.34,-0.84,-1.40,-1.28,50,3.99,47,,3,,"2,568",0.01947040498,1.947040498
Equatorial Guinea,C,GNQ,706,14.99,-1.97,-0.15,-1.44,-1.40,-1.49,-1.83,131,6.46,126,,5,,"2,805",0.04670231729,4.670231729
Liberia,W,LBR,667,14.57,-0.02,-0.41,-1.37,-0.95,-0.97,-0.69,92,5.41,92,,,,"9,632",0.009551495017,0.9551495017
Swaziland,S,SWZ,572,13.49,-1.45,-0.30,-0.58,-0.56,-0.29,-0.30,186,7.69,62,,1,123,"1,736",0.1071226174,10.71226174
Gambia,W,GMB,474,12.28,-0.65,-0.21,-0.65,-0.45,-0.45,-0.66,,0.00,,,,,"1,012",0,0
Mozambique,E,MOZ,,0.00,-0.42,-0.98,-0.89,-0.73,-1.01,-0.86,2233,26.66,2204,,15,14,"78,638",0.02839594089,2.839594089
Cape Verde,W,CPV,,0.00,0.98,0.90,0.16,-0.20,0.41,0.84,39,3.52,19,26,14,,403,0.09677419355,9.677419355
Seychelles,E,SYC,,0.00,0.19,0.68,0.42,-0.18,0.10,0.68,8,1.60,,6,2,,46,0.1739130435,17.39130435
São Tomé and Principe,C,STP,,0.00,0.33,0.22,-0.77,-0.83,-0.68,0.14,2,0.80,2,,0,,96,0.02083333333,2.083333333
Comoros,E,COM,,0.00,-0.30,0.03,-1.57,-1.04,-1.05,-0.68,1,0.56,,,,,186,0.005373455132,0.5373455132
South Sudan,E,SSD,,0.00,-1.82,-2.46,-2.48,-1.94,-1.94,-1.71,0,0.00,,,0,,"61,975",0,0